X,Y,PARK,FIELD_TYPE,QUANTITY,LAT,LONG,ObjectId
-8473298.55626419,5316400.84254811,Barry Park,Softball,1,43.029091,-76.116936,1
-8473348.42739607,5316350.74179998,Barry Park,Soccer (perm. posts),6,43.028762,-76.117384,2
-8480821.86141047,5318128.03589042,Burnet Park,Softball ,2,43.040432,-76.184519,3
-8480706.757057,5318396.56309372,Burnet Park,Multipurpose/soccer,2,43.042195,-76.183485,4
-8474646.6352977,5315292.29301381,Comfort Tyler Park,Baseball,1,43.021811,-76.129046,5
-8473070.12866909,5322752.56426007,Cummings Field,Little League ,2,43.070787,-76.114884,6
-8471577.66825602,5321539.1943513,Eastwood Heights Park,Soccer/lacrosse,1,43.062824,-76.101477,7
-8471547.94595198,5321587.64689071,Eastwood Heights Park,Softball,1,43.063142,-76.10121,8
-8478460.55237177,5314824.54891155,Elmwood Park,Little League,1,43.018739,-76.163307,9
-8479761.98853863,5319808.32366483,Frazer Park,Soccer,1,43.051463,-76.174998,10
-8479726.47762107,5319852.95876264,Frazer Park,Softball,1,43.051756,-76.174679,11
,,Huntington,Soccer,1,,,12
-8471406.57019867,5319789.28145251,Homer Wheaton Park,Softball,1,43.051338,-76.09994,13
-8477442.31298948,5315890.71070563,Kirk Park,Football,1,43.025741,-76.15416,14
-8477500.97836113,5316083.64386324,Kirk Park,Softball,1,43.027008,-76.154687,15
-8481679.13280907,5320212.18004384,Lewis Park,Little League ,2,43.054114,-76.19222,16
-8476756.13964823,5323448.99367552,McChesney Park ,Softball,2,43.075357,-76.147996,17
-8476520.8102447,5311943.383682,Meachem Park,Softball ,2,42.999813,-76.145882,18
-8476606.08097464,5312021.46760124,Meachem Park,Baseball,1,43.000326,-76.146648,19
-8472466.99966797,5323714.32103783,Norwood Park (City),Football,2,43.077098,-76.109466,20
-8476825.82564947,5318222.62116626,Roesler Park,Little League,2,43.041053,-76.148622,21
-8475696.1554569,5321852.31189561,Schiller Park,Soccer,1,43.064879,-76.138474,22
-8472844.37274176,5315997.91222109,Sherman Park,Little League ,2,43.026445,-76.112856,23
-8477897.60970683,5317675.07555275,Spirit of Jubilee Park ,Little League,1,43.037458,-76.15825,24
-8473221.41185707,5320818.22587886,Sunnycrest Park (Frank Salanger Sports Complex),Turf Football ,2,43.058092,-76.116243,25
-8473305.90335059,5321169.25683197,Sunnycrest Park (Frank Salanger Sports Complex),Olympic Running track,1,43.060396,-76.117002,26
-8473369.46677983,5320959.61175962,Sunnycrest Park (Frank Salanger Sports Complex),Baseball,1,43.05902,-76.117573,27
-8473430.46986078,5321206.28039678,Sunnycrest Park (Frank Salanger Sports Complex),Softball,1,43.060639,-76.118121,28
-8474353.86503691,5318159.71652031,Thornden Park,Football,1,43.04064,-76.126416,29
-8477155.77662018,5313071.17359852,Van Duyn Field,Baseball,1,43.007222,-76.151586,30
-8477126.38827461,5312848.46655342,Van Duyn Field,Little League ,7,43.005759,-76.151322,31
-8480526.97607937,5315861.93096265,Wadsworth Park,Little League,1,43.025552,-76.18187,32
-8478439.06771004,5322708.82961624,Washington Square Park,Soccer,1,43.0705,-76.163114,33
